"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-8.8,-3.5,-2.5,118.8,
-10.9,-1.3,1.3,116.3,
-6.8,0.8,2.5,105.0,
1.1,2.9,11.3,128.8,
9.3,6.0,7.5,141.3,
14.3,12.3,1.3,157.5,
11.3,16.9,7.5,177.5,
-5.1,12.8,7.5,176.3,
-3.9,3.5,8.8,165.0,
3.5,-2.1,7.5,160.0,
9.3,-0.4,11.3,167.5,
9.3,5.0,15.0,180.0,
6.8,9.1,12.5,172.5,
5.9,12.4,16.3,166.3,
8.3,14.6,15.0,187.5,
11.1,12.8,8.8,206.3,
9.3,8.6,11.3,208.8,
4.8,8.1,12.5,220.0,
3.5,11.9,7.5,225.0,
5.4,16.5,2.5,242.5,
6.9,19.1,0.0,263.8,
8.6,18.6,7.5,286.3,
9.8,15.1,8.8,292.5,
4.6,10.8,3.8,296.3,
-3.4,8.1,3.8,283.8,
-4.9,7.3,10.0,263.8,
-1.9,7.3,7.5,245.0,
-3.0,5.8,11.3,253.8,
-9.6,1.3,0.0,220.0,
-15.0,-3.1,6.3,183.8,
-13.8,-3.6,6.3,131.3,
-8.5,-1.5,2.5,62.5,
-4.4,-0.8,-1.3,12.5,
-2.8,-2.0,0.0,-45.0,
-3.9,-3.1,2.5,-76.3,
-6.9,-3.6,5.0,-113.8,
-9.0,-5.9,1.3,-138.8,
-8.9,-11.3,0.0,-176.3,
-6.4,-16.8,0.0,-201.3,
-2.6,-18.5,-3.8,-212.5,
-0.1,-16.3,-2.5,-221.3,
1.1,-12.5,-1.3,-223.8,
5.4,-8.8,-5.0,-220.0,
11.5,-5.5,1.3,-216.3,
11.0,-5.5,-3.8,-215.0,
4.4,-10.0,-1.3,-223.8,
0.3,-13.5,0.0,-205.0,
0.6,-12.5,2.5,-203.8,
1.0,-9.3,-3.8,-196.3,
1.0,-6.8,-2.5,-182.5,
4.5,-5.9,-5.0,-172.5,
7.3,-5.5,0.0,-162.5,
3.3,-4.9,-3.8,-142.5,
-4.6,-5.0,-1.3,-123.8,
-9.9,-5.4,1.3,-107.5,
-8.5,-5.0,1.3,-97.5,
-1.4,-4.3,5.0,-93.8,
5.9,-3.1,-2.5,-77.5,
8.6,-1.6,-2.5,-55.0,
4.5,-0.5,-2.5,-40.0,
-2.5,0.0,-5.0,-30.0,
-4.5,-0.1,-2.5,-26.3,
-2.1,-1.4,-2.5,-45.0,
-0.8,-1.8,8.8,-46.3,
-0.5,1.3,6.3,-55.0,
1.5,5.0,7.5,-45.0,
7.5,5.1,11.3,-45.0,
11.3,2.0,10.0,-46.3,
4.4,-0.9,11.3,-25.0,
-7.9,-2.6,13.8,-15.0,
-13.9,-4.1,13.8,-28.8,
-7.5,-4.4,8.8,-25.0,
3.9,-1.9,13.8,-23.8,
4.1,1.6,5.0,-15.0,
-6.9,2.9,2.5,1.3,
-16.1,0.9,6.3,-7.5,
-19.3,-2.8,0.0,-16.3,
-18.4,-5.8,6.3,-18.8,
-15.8,-5.1,-2.5,-18.8,
-12.9,-1.3,-5.0,-25.0,
-10.0,0.4,0.0,-20.0,
-9.0,-3.6,-2.5,-2.5,
-10.3,-9.5,-1.3,-7.5,
-10.3,-11.6,-5.0,-18.8,
-9.6,-10.4,0.0,-7.5,
-12.8,-9.5,-3.8,-13.8,
-16.6,-10.4,-1.3,-33.8,
-16.5,-12.1,-3.8,-32.5,
-14.5,-14.5,-10.0,-47.5,
-11.3,-16.4,5.0,-56.3,
-6.4,-15.4,-7.5,-62.5,
-3.8,-11.5,-3.8,-68.8,
-5.5,-8.8,-8.8,-63.8,
-10.1,-8.8,0.0,-55.0,
-13.5,-8.4,-1.3,-43.8,
-13.5,-7.3,-1.3,-26.3,
-11.6,-9.8,-6.3,-23.8,
-8.3,-16.5,0.0,-17.5,
-5.3,-22.8,0.0,-20.0,
-10.0,-26.4,-3.8,-11.3,
-25.3,-30.6,1.3,0.0,
-44.6,-38.8,-1.3,1.3,
-62.9,-50.6,-7.5,-8.8,
-79.4,-66.3,-3.8,-6.3,
-96.5,-85.8,-10.0,-18.8,
-119.0,-108.0,-8.8,-20.0,
-147.5,-133.3,-2.5,-20.0,
-174.3,-160.9,-10.0,-13.8,
-189.0,-184.6,-7.5,-2.5,
-185.6,-195.8,-3.8,-2.5,
-168.4,-190.4,-12.5,1.3,
-147.5,-173.6,-8.8,8.8,
-125.9,-153.1,-6.3,11.3,
-104.0,-130.5,-7.5,7.5,
-84.6,-106.8,-7.5,17.5,
-64.4,-85.6,-11.3,25.0,
-41.8,-67.1,-11.3,37.5,
-23.3,-47.5,-5.0,35.0,
-12.0,-26.5,-8.8,45.0,
-4.4,-10.4,-10.0,37.5,
4.4,-1.8,-6.3,28.8,
14.9,5.3,-8.8,37.5,
23.0,14.0,-13.8,48.8,
27.3,23.3,-6.3,60.0,
32.0,31.6,-10.0,62.5,
40.1,40.1,-8.8,71.3,
49.5,50.5,-8.8,78.8,
56.4,60.5,-10.0,98.8,
59.3,65.0,-5.0,126.3,
58.5,63.6,-10.0,130.0,
56.5,61.8,-8.8,112.5,
56.3,62.3,-10.0,75.0,
57.8,63.9,-10.0,56.3,
58.8,66.4,-10.0,56.3,
57.8,68.3,-11.3,56.3,
56.3,66.8,-2.5,50.0,
56.3,62.4,-11.3,40.0,
58.1,57.5,-8.8,20.0,
57.5,54.9,-8.8,-1.3,
53.1,55.3,-5.0,-11.3,
52.6,57.6,-10.0,-23.8,
58.3,61.5,-5.0,-38.8,
61.1,65.8,-8.8,-43.8,
56.9,67.6,-2.5,-33.8,
50.5,65.6,-1.3,-35.0,
47.9,61.5,3.8,-37.5,
49.6,57.1,0.0,-51.3,
50.9,53.4,-3.8,-50.0,
49.5,50.8,3.8,-43.8,
46.8,49.0,-1.3,-35.0,
41.5,47.5,-1.3,-42.5,
34.6,45.0,-1.3,-47.5,
30.9,40.0,1.3,-53.8,
32.1,34.1,-1.3,-32.5,
33.9,30.0,-10.0,5.0,
30.4,26.3,-7.5,70.0,
23.8,23.9,-3.8,258.8,
19.8,27.0,1.3,622.5,
18.0,34.0,-6.3,812.5,
16.3,39.5,-2.5,610.0,
15.6,40.9,-11.3,137.5,
19.5,38.5,-5.0,-373.8,
29.5,33.5,2.5,-750.0,
37.8,27.0,7.5,-928.8,
35.1,20.0,5.0,-861.3,
27.3,13.5,-1.3,-627.5,
23.4,10.0,-2.5,-398.8,
21.6,11.6,7.5,-260.0,
17.1,15.0,3.8,-122.5,
11.9,14.4,0.0,32.5,
11.0,10.0,3.8,110.0,
13.6,6.4,2.5,112.5,
15.8,6.9,5.0,118.8,
16.0,9.8,-2.5,148.8,
13.8,11.4,-5.0,147.5,
8.3,11.8,1.3,148.8,
1.1,11.6,-2.5,157.5,
-2.3,9.1,1.3,151.3,
0.9,5.5,0.0,126.3,
6.1,5.0,2.5,133.8,
8.5,7.3,-3.8,142.5,
7.1,8.4,-3.8,136.3,
3.4,7.1,0.0,128.8,
0.0,5.3,3.8,136.3,
-1.5,4.3,5.0,157.5,
-0.3,3.1,0.0,172.5,
3.0,1.0,3.8,177.5,
3.8,-0.4,5.0,172.5,
1.0,1.3,-1.3,158.8,
-1.4,4.6,3.8,163.8,
-1.5,6.0,2.5,167.5,
0.6,4.5,-1.3,175.0,
3.4,1.9,-2.5,167.5,
4.9,-1.1,1.3,165.0,
4.8,-3.1,-5.0,155.0,
2.9,-2.0,-6.3,165.0,
-0.1,1.8,-7.5,172.5,
-2.5,4.4,-1.3,180.0,
-4.1,3.8,-6.3,182.5,
-6.5,1.6,0.0,190.0,
-11.3,0.6,5.0,201.3,
-16.3,0.5,-8.8,216.3,
-16.3,-0.3,-5.0,222.5,
-10.1,-1.0,-5.0,237.5,
-2.9,-0.3,0.0,245.0,
-0.1,0.8,-10.0,248.8,
-3.0,0.6,-5.0,258.8,
-8.9,0.6,-3.8,268.8,
-13.9,0.1,-6.3,267.5,
