"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
-16.3,-8.0,-15.0,-76.3,
-19.1,-7.0,-25.0,-65.0,
-20.6,-6.6,-37.5,-60.0,
-20.1,-7.6,-40.0,-80.0,
-18.6,-9.6,-36.3,-78.8,
-17.6,-11.8,-38.8,-102.5,
-18.1,-13.5,-45.0,-93.8,
-20.0,-14.5,-37.5,-67.5,
-22.0,-14.8,-36.3,-43.8,
-22.9,-15.0,-28.8,-23.8,
-22.3,-15.8,-20.0,-22.5,
-19.9,-16.6,-17.5,-45.0,
-19.8,-17.0,-3.8,-62.5,
-20.9,-16.9,0.0,-71.3,
-23.1,-16.6,3.8,-65.0,
-25.9,-17.1,-8.8,-63.8,
-28.1,-19.3,2.5,-65.0,
-29.1,-22.3,1.3,-52.5,
-28.8,-25.0,8.8,-11.3,
-27.9,-27.5,6.3,16.3,
-27.8,-29.9,13.8,27.5,
-28.6,-31.4,16.3,12.5,
-29.5,-31.4,25.0,6.3,
-29.4,-30.4,28.8,2.5,
-28.4,-29.1,22.5,10.0,
-27.6,-26.8,20.0,22.5,
-27.9,-23.5,7.5,23.8,
-28.5,-21.4,5.0,12.5,
-28.9,-21.3,1.3,13.8,
-29.5,-22.4,0.0,30.0,
-30.8,-24.3,-15.0,57.5,
-31.4,-26.8,-22.5,70.0,
-30.0,-28.4,-26.3,56.3,
-27.4,-27.4,-36.3,50.0,
-25.1,-24.4,-41.3,57.5,
-23.6,-22.1,-53.8,72.5,
-22.6,-21.4,-56.3,97.5,
-22.6,-20.6,-71.3,105.0,
-24.1,-19.4,-76.3,130.0,
-26.4,-18.3,-83.8,128.8,
-28.3,-16.1,-83.8,142.5,
-29.3,-12.1,-87.5,157.5,
-29.8,-8.1,-82.5,182.5,
-30.4,-6.3,-66.3,198.8,
-31.3,-6.4,-58.8,218.8,
-32.1,-7.4,-71.3,286.3,
-32.9,-8.3,-85.0,370.0,
-32.9,-8.9,-101.3,422.5,
-32.0,-10.5,-100.0,456.3,
-30.9,-15.3,-88.8,457.5,
-30.0,-23.1,-83.8,413.8,
-29.1,-30.0,-83.8,313.8,
-28.0,-32.5,-85.0,240.0,
-26.4,-32.5,-91.3,215.0,
-24.3,-32.5,-81.3,190.0,
-21.5,-31.5,-53.8,170.0,
-18.3,-28.3,-17.5,195.0,
-15.5,-23.4,2.5,245.0,
-14.5,-18.4,12.5,245.0,
-15.1,-13.9,17.5,181.3,
-15.9,-9.6,5.0,125.0,
-15.6,-6.3,-18.8,93.8,
-15.6,-4.9,-7.5,53.8,
-17.0,-5.1,-7.5,16.3,
-18.8,-5.6,22.5,-3.8,
-19.4,-5.5,62.5,-8.8,
-19.0,-4.9,83.8,-22.5,
-18.4,-4.3,107.5,-62.5,
-17.5,-4.1,102.5,-106.3,
-16.0,-4.0,77.5,-146.3,
-14.0,-3.1,62.5,-168.8,
-12.3,-1.4,50.0,-166.3,
-10.9,0.5,60.0,-180.0,
-9.6,2.1,62.5,-171.3,
-7.9,4.0,87.5,-171.3,
-4.8,6.5,112.5,-137.5,
0.0,9.3,136.3,-96.3,
5.9,11.6,160.0,-67.5,
11.9,13.8,142.5,-47.5,
16.3,15.3,142.5,-23.8,
18.4,15.1,160.0,22.5,
20.5,13.5,185.0,60.0,
25.4,10.6,191.3,87.5,
32.1,6.5,183.8,92.5,
37.5,2.4,133.8,81.3,
40.3,0.9,23.8,71.3,
42.5,3.3,-95.0,33.8,
45.6,8.6,-146.3,-45.0,
