"ID:",""
"Name:",""
"Age:","","Sex:","Male"
"Comments:"
""

"Raw Data"

"EEG1","EEG2","EMG","ECG"
65.3,-64.7,-30.3,4998.1,
248.5,-246.1,-243.4,5266.6,
449.3,-444.9,-51.3,5471.0,
545.8,-540.1,-13.2,5352.1,
545.8,-540.1,-193.4,5118.3,
545.8,-540.1,-130.3,5471.0,
545.8,-540.1,-1.3,5324.1,
545.8,-540.1,-76.3,4692.1,
540.8,-535.5,-122.4,4868.5,
541.8,-536.4,0.0,4800.4,
545.8,-540.1,68.4,4219.2,
545.7,-540.1,93.4,4121.7,
543.2,-537.7,140.8,4160.4,
545.8,-540.1,118.4,3700.8,
545.8,-540.1,61.8,3404.2,
543.6,-538.3,155.2,3448.3,
545.6,-540.1,186.8,3189.1,
544.8,-540.1,103.9,2851.1,
533.7,-535.1,-65.8,2804.3,
520.2,-527.2,-150.0,2620.0,
508.1,-517.8,-276.3,2261.9,
495.4,-504.0,-159.2,2160.4,
485.4,-490.9,55.3,2100.2,
476.8,-480.7,-39.5,1821.0,
464.6,-468.5,-147.4,1627.3,
452.3,-448.2,-130.3,1576.5,
443.3,-399.4,-113.1,1405.5,
434.3,-333.1,-100.0,1195.7,
422.5,-288.7,-81.6,1138.3,
410.1,-216.7,-63.2,1006.0,
397.7,-75.4,-77.6,804.3,
386.0,43.0,-84.2,693.4,
376.7,102.9,14.5,591.9,
369.7,182.4,111.8,396.8,
362.4,276.4,59.2,236.5,
353.0,333.5,-76.3,144.3,
342.6,373.3,-69.7,17.4,
333.2,417.9,-53.9,-133.6,
325.1,459.9,78.9,-220.4,
318.3,480.9,169.7,-330.0,
311.6,483.7,132.9,-427.5,
304.0,501.5,43.4,-503.7,
297.2,527.2,103.9,-567.8,
290.8,526.4,155.2,-662.7,
283.2,521.1,136.8,-757.5,
276.0,540.0,94.7,-800.3,
269.8,540.0,126.3,-868.4,
263.1,535.2,182.9,-943.2,
255.2,532.2,167.1,-1024.7,
246.6,532.3,198.7,-1130.3,
239.0,522.8,211.8,-1225.1,
233.4,503.1,253.9,-1333.4,
229.3,477.7,250.0,-1704.8,
225.9,473.0,248.7,-2232.5,
222.6,496.3,236.8,-2625.3,
218.6,533.7,186.8,-2871.1,
213.8,540.0,163.1,-3052.8,
207.1,540.0,165.8,-3218.5,
198.2,539.5,130.3,-3368.1,
189.9,540.0,73.7,-3501.7,
184.1,539.1,34.2,-3662.1,
179.7,530.6,15.8,-3833.1,
175.5,529.2,46.0,-3929.3,
171.9,527.3,148.7,-3985.4,
169.3,528.4,184.2,-3962.7,
166.5,538.7,169.7,-3841.1,
162.6,540.0,184.2,-3684.8,
158.9,538.9,153.9,-3515.1,
156.5,538.9,202.6,-3280.0,
153.4,540.0,234.2,-3031.5,
148.4,539.6,251.3,-2845.7,
143.0,530.5,182.9,-2745.5,
139.6,520.5,103.9,-2681.4,
137.4,518.1,39.5,-2577.2,
134.4,506.6,97.4,-2497.0,
129.7,481.8,115.8,-2447.6,
126.0,476.7,118.4,-2347.4,
123.6,477.1,88.1,-2241.9,
120.0,440.4,38.2,-2183.1,
115.7,396.5,36.8,-2116.3,
113.2,374.4,85.5,-2062.8,
111.8,308.0,64.5,-2006.7,
110.8,205.4,21.1,-1947.9,
109.8,177.6,106.6,-1865.1,
108.4,223.0,168.4,-1791.6,
104.9,269.0,157.9,-1703.4,
99.8,313.6,144.7,-1638.0,
96.0,356.2,189.5,-1552.5,
94.9,363.4,239.4,-1491.0,
93.8,345.4,240.8,-1437.6,
90.0,329.4,202.6,-1397.5,
84.8,305.0,176.3,-1378.8,
81.6,276.3,189.5,-1342.7,
81.2,269.0,147.4,-1271.9,
81.0,267.8,90.8,-1223.8,
78.8,252.0,56.6,-1201.1,
75.0,241.7,72.4,-1190.4,
72.1,243.3,222.3,-1169.0,
71.3,238.3,352.6,-1119.6,
71.8,231.7,300.0,-1051.5,
71.6,228.9,147.4,-990.0,
69.4,208.7,72.4,-957.9,
66.5,169.3,168.4,-949.9,
64.5,139.9,184.2,-915.2,
63.6,131.2,175.0,-897.8,
63.3,131.9,192.1,-877.8,
63.7,139.0,85.5,-839.0,
64.0,146.9,14.5,-833.7,
63.0,140.8,22.4,-823.0,
60.2,118.5,115.8,-859.1,
57.0,93.6,181.6,-892.5,
55.7,81.4,146.0,-891.1,
56.1,85.6,147.4,-864.4,
56.1,90.5,272.3,-860.4,
54.5,75.7,289.4,-861.7,
51.4,44.6,222.3,-887.1,
48.7,22.2,200.0,-888.5,
47.9,19.8,138.1,-869.8,
48.0,25.6,126.3,-863.1,
46.3,33.8,90.8,-884.5,
42.0,49.4,46.0,-897.8,
37.5,70.2,47.4,-905.8,
35.6,92.8,46.0,-883.1,
36.7,120.7,19.7,-831.0,
37.6,147.3,-14.5,-784.2,
36.5,161.3,30.3,-746.8,
34.7,167.3,181.6,-729.5,
34.0,176.7,298.7,-708.1,
34.5,186.9,256.6,-709.4,
35.3,192.1,252.6,-710.8,
36.3,193.8,153.9,-680.0,
36.8,192.5,163.1,-658.7,
36.4,187.2,225.0,-637.3,
34.4,177.0,250.0,-648.0,
31.7,160.2,238.1,-649.3,
31.1,139.0,228.9,-623.9,
31.7,114.9,178.9,-599.9,
30.8,82.8,219.7,-609.2,
28.4,34.7,294.7,-640.0,
26.4,-28.7,261.8,-674.7,
26.0,-91.6,197.3,-690.7,
26.7,-131.3,101.3,-697.4,
26.1,-134.2,52.6,-706.8,
23.6,-105.9,153.9,-740.2,
21.5,-72.4,210.5,-761.5,
21.2,-61.3,225.0,-749.5,
21.9,-71.7,193.4,-744.2,
22.0,-81.1,239.4,-732.1,
21.2,-76.7,147.4,-713.4,
20.1,-65.1,82.9,-688.1,
18.4,-60.0,142.1,-697.4,
16.4,-62.9,267.1,-749.5,
16.1,-61.4,261.8,-784.2,
17.6,-48.7,190.8,-780.2,
18.5,-29.9,48.7,-738.8,
17.9,-11.2,-14.5,-729.5,
16.1,6.9,23.7,-718.8,
15.7,27.2,48.7,-670.7,
17.6,48.1,93.4,-585.2,
19.6,64.2,240.8,-526.4,
19.3,74.9,284.2,-510.4,
17.3,85.4,226.3,-513.0,
16.1,97.2,219.7,-491.7,
15.6,100.7,238.1,-491.7,
10.8,86.1,317.1,-501.0,
1.2,57.9,440.7,-510.4,
-3.5,34.0,506.5,-533.1,
-14.3,24.3,546.0,-566.5,
-47.7,15.8,556.5,-586.5,
